n;;m;;;;;bn;;;N;;;;;;;M;;;;;;;Nbar;;;;;;;;;;;;;;;;;B1.B2.Bb1.E;;;B1 Mass;;;B2 Mass;;;B3 Mass;;;Bb1 Mass;;;B1b1 Mass;;;B2b1 Mass;;;B3b1 Mass;;;B1+E Mass;;;B2+E Mass;;;B3+E Mass;;;Bb1+E Mass;;;B1b1+E Mass;;;B2b1+E Mass;;;B3b1+E Mass;;;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bb1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;;1;2;;1;2;3;4;5;6;;1;2;3;4;5;6;;1;2;3;4;5;6;;A-1;A-2;A-3;B-1;B-2;B-3;C;D;E;F;;;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;B1*B2;B1*Bb1;B2*Bb1
0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;1;;0;-1/2;;0;-1/2;;0;-1/2;;-1/2;0;;0;0;;0;0;;0;0;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;1;1;;1;1;0;0;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;4;0;0
0;0;1;0;1;0;;0;0;;0;0;0;0;0;0;;1;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;2;;0;-1/2;;1/8;-3/8;;1/8;-3/8;;-1/2;0;;0;0;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;1;;0;0;1;0;1;0;;0;0;0;0;0;0;;1;0;0;0;0;0;;1;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;4;0;0
0;0;1;1;1;1;;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;3;;0;-1/2;;1/4;-1/4;;1/4;-1/4;;-1/2;0;;0;0;;1/4;1/4;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;1;1;;1;1;1;1;0;0;;0;0;1;1;1;1;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;4;0;0
1;0;1;0;1;1;;0;0;;1;0;0;0;0;0;;0;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;4;;1/8;-3/8;;1/8;-3/8;;1/4;-1/4;;-1/2;0;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;;0;0;0;0;0;0;;1;0;0;0;0;0;;1;0;0;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;0;;0;0;1;0;1;1;;0;0;0;0;0;0;;0;1;0;0;0;0;;0;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;4;0;0
0;0;1;0;1;0;;1;0;;0;0;0;0;0;0;;0;0;1;0;0;0;;1;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;5;;0;-1/2;;1/8;-3/8;;1/8;-3/8;;-3/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;1;;0;0;1;0;1;0;;0;0;0;0;0;0;;0;0;1;0;0;0;;0;0;1;0;0;0;;0;0;0;0;0;0;;1;0;0;0;0;0;;1;0;0;0;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
0;0;1;1;1;1;;1;0;;0;0;0;0;0;0;;0;1;0;1;0;0;;1;0;0;0;0;0;;0;0;0;0;;;0;;;0;0;33;;0;-1/2;;1/4;-1/4;;1/4;-1/4;;-3/8;1/8;;1/8;1/8;;1/4;1/4;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;1/8;1/8;;1/8;1/8;;0;0;;0;0;;0;0;1;1;1;1;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;1;1;;1;1;1;1;0;0;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;1;0;1;0;0;;0;1;0;1;0;0;;0;0;0;0;0;0;;1;0;0;0;0;0;;1;0;0;0;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
1;0;1;0;1;1;;1;0;;0;1;0;0;0;0;;0;0;1;0;0;0;;0;1;0;0;0;0;;0;0;0;0;;;0;;;0;0;6;;1/8;-3/8;;1/8;-3/8;;1/4;-1/4;;-3/8;1/8;;1/4;1/4;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;;0;0;0;0;0;0;;0;1;0;0;0;0;;0;1;0;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;0;;0;0;1;0;1;1;;0;0;0;0;0;0;;0;0;1;0;0;0;;0;0;1;0;0;0;;0;0;0;0;0;0;;0;1;0;0;0;0;;0;1;0;0;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
1;0;1;0;1;1;;1;0;;0;0;1;0;0;0;;0;1;0;0;0;0;;0;0;0;1;0;0;;0;0;0;0;;;0;;;0;0;7;;1/8;-3/8;;1/8;-3/8;;1/4;-1/4;;-3/8;1/8;;1/8;1/8;;1/4;1/4;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;1/8;1/8;;0;0;;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;0;0;;0;0;1;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;0;;0;0;1;0;1;1;;0;0;0;0;0;0;;0;1;0;0;0;0;;0;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;1;0;0;;0;0;0;1;0;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
1;0;1;0;1;1;;1;0;;0;0;1;0;0;0;;0;0;0;1;0;0;;0;0;0;0;1;0;;0;0;0;0;;;0;;;0;0;32;;1/8;-3/8;;1/8;-3/8;;1/4;-1/4;;-3/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;0;0;;0;0;1;0;0;0;;1;1;0;0;1;1;;1;1;1;0;0;0;;0;0;1;0;1;1;;0;0;0;0;0;0;;0;0;0;1;0;0;;0;0;0;1;0;0;;0;0;0;0;0;0;;0;0;0;0;1;0;;0;0;0;0;1;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
1;1;1;1;1;1;;1;0;;0;1;1;0;0;0;;0;1;0;1;0;0;;0;0;0;0;1;0;;0;0;0;0;;;0;;;0;0;31;;1/4;-1/4;;1/4;-1/4;;1/4;-1/4;;-3/8;1/8;;1/4;1/4;;1/4;1/4;;1/8;1/8;;0;0;;0;0;;0;0;;1/8;1/8;;0;0;;0;0;;1/8;1/8;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;1;1;0;0;0;;0;1;1;0;0;0;;1;1;0;0;1;1;;1;1;1;1;0;0;;0;0;1;1;1;1;;0;0;0;0;0;0;;0;1;0;1;0;0;;0;1;0;1;0;0;;0;0;0;0;0;0;;0;0;0;0;1;0;;0;0;0;0;1;0;;0;0;1;1;1;1;;1;0;1;1;1;1;;1;0;0;0;0;0;4;0;0
