"n12","m3456","k12","N","M","K"
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)"
"(0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)"
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)"
"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)"
"(0, 0)","(1, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)"
"(0, 0)","(1, 1, 1, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 0, 0, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)"
"(0, 0)","(1, 0, 1, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)"
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 1, 0, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 1, 0, 0)","(1, 0, 1, 0, 0, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)"
"(1, 1)","(1, 1, 1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 1, 0, 0, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 0, 1, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)"
"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)"
