n,m,k,l,N,M,K,L,Class
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",class_01
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",class_01
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",class_01
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",class_01
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",class_02
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",class_02
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(0, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 1, 1, 1, 1)",class_02
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)",class_02
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",class_03
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(1, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",class_03
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",class_03
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(1, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",class_03
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",class_03
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",class_03
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",class_03
"(0, 0)","(0, 0, 0, 0)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",class_03
