n,m,k,l,N,M,K,L,Label,TwistBasis,NumberOfMIParameterChoices
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",class_01,b1 ; b2 ; b`1 ; b`2,16
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",class_02,b1 ; b2 + e`3`4`5`6 ; b`1 ; b`2 + e3456,144
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",class_03,b1 ; b2 + e`2`4`5`6 ; b`1 + e2`2 ; b`2 + e1`4`5`6,1152
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",class_04,b1 ; b2 + e46`6 ; b`1 + e2`2 ; b`2 + e2`4,9216
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",class_05,b1 ; b2 + e46`6 ; b`1 + e2`2 ; b`2 + e23456`4,9216
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",class_06,b1 + e`3`4`5`6 ; b2 + e`1`2`5`6 ; b`1 + e3456 ; b`2 + e1256,96
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 1, 0, 1)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 1, 0, 1)",class_07,b1 + e`3`4`5`6 ; b2 + e`1`2`4`6 ; b`1 + e3456 ; b`2 + e1246,2304
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",class_08,b1 + e`3`4`5`6 ; b2 + e46`2 ; b`1 ; b`2 + e1245,1152
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 1, 0, 1)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",class_09,b1 + e`3`4`5`6 ; b2 + e46`2 ; b`1 ; b`2 + e2`4`6,9216
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 1, 0, 1)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",class_10,b1 + e`3`4`5`6 ; b2 + e46`2 ; b`1 + e3456 ; b`2 + e2`4`6,9216
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 0, 1)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 0, 1)",class_11,b1 + e`2`4`5`6 ; b2 + e`1`3`4`6 ; b`1 + e2456 ; b`2 + e1346,6144
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(0, 0, 1, 1)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 0, 1)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 0, 1)",class_12,b1 + e`2`4`5`6 ; b2 + e56`2`3`4`6 ; b`1 + e2456 ; b`2 + e2346`5`6,6144
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 0, 1)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",class_13,b1 + e`2`4`5`6 ; b2 + e56`2`3`4`6 ; b`1 + e2456 ; b`2 + e3`4`5,9216
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 1, 1)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 0)",class_14,b1 + e`2`4`5`6 ; b2 + e46`3 ; b`1 + e2456 ; b`2 + e2345`5`6,9216
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 1, 0, 1)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",class_15,b1 + e`2`4`5`6 ; b2 + e46`3 ; b`1 + e2456 ; b`2 + e3`4`6,36864
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 1, 1, 1)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 0)",class_16,b1 + e`2`4`5`6 ; b2 + e46`3 ; b`1 + e6`2 ; b`2 + e3`4`5`6,4608
