stefan_index,n12,m3456,k12,l3456,N,M,K,L,modular_invariant,failed_constraints,equivalent_to_code_solution
1,"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",True,,2
2,"(0, 0)","(1, 0, 1, 0)","(0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",True,,1
3,"(0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",True,,3
4,"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",True,,4
5,"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",True,,13
6,"(0, 0)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",True,,16
7,"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)",True,,5
8,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",True,,25
9,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",True,,9
10,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",True,,7
