code_solution_index,n12,m3456,k12,l3456,N,M,K,L,mapped_stefan_index
1,"(0, 0)","(1, 0, 1, 0)","(0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",2
2,"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",1
3,"(0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",3
4,"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",4
5,"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)",7
6,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 0, 1, 0)",13
7,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",10
8,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)",16
9,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)",9
10,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 1, 0, 0)",UNMATCHED
