n12,N,m3456,mb3456,satisfies_all_constraints,equivalent_to_solution_index
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,18
"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,7
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,13
"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,1
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,3
"(1, 1)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0)","(0, 0, 0, 0)",True,21
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)",True,11
"(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)",True,5
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)",True,16
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0, 1, 0)","(0, 0, 1, 0)",True,20
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)",True,10
"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)",True,6
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)",True,15
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 1)","(0, 0, 1, 1)",True,12
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,17
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,8
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,14
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,19
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,4
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,22
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,9
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",True,23
