n12,N,m3456,mb3456
"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)"
"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)"
"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)"
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)"
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 1)","(0, 0, 1, 1)"
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0)","(1, 0, 0, 0)"
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0, 1, 0)","(0, 0, 1, 0)"
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0, 1, 0)","(0, 0, 1, 0)"
"(1, 1)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0)","(0, 0, 0, 0)"
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)"
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)"
