n1,n2,m3,m4,m5,m6,N1,N2,N3,N4,N5,N6,Class
0,0,0,0,0,0,0,0,0,0,0,0,i-A
0,0,0,1,0,1,0,0,0,0,0,0,i-E
0,0,0,1,1,0,0,0,0,0,0,0,i-E
0,0,1,0,0,1,0,0,0,0,0,0,i-E
0,0,1,0,1,0,0,0,0,0,0,0,i-E
0,0,1,1,1,1,0,0,0,0,0,0,i-A
0,0,0,0,1,1,0,0,1,1,1,1,iii-A.3
0,0,0,1,0,1,0,0,1,1,1,1,iii-E.5
0,0,0,1,1,0,0,0,1,1,1,1,iii-E.5
0,0,1,0,0,1,0,0,1,1,1,1,iii-E.5
0,0,1,0,1,0,0,0,1,1,1,1,iii-E.5
0,0,1,1,0,0,0,0,1,1,1,1,iii-A.3
0,0,0,0,0,1,0,1,0,1,1,1,iii-B.3
0,0,0,0,1,0,0,1,0,1,1,1,iii-B.3
0,0,0,1,0,0,0,1,0,1,1,1,iii-B.3
0,0,1,0,1,1,0,1,0,1,1,1,iii-B.3
0,0,1,1,0,1,0,1,0,1,1,1,iii-B.3
0,0,1,1,1,0,0,1,0,1,1,1,iii-B.3
0,0,0,0,0,1,0,1,1,0,1,1,iii-B.3
0,0,0,0,1,0,0,1,1,0,1,1,iii-B.3
0,0,0,1,1,1,0,1,1,0,1,1,iii-B.3
0,0,1,0,0,0,0,1,1,0,1,1,iii-B.3
0,0,1,1,0,1,0,1,1,0,1,1,iii-B.3
0,0,1,1,1,0,0,1,1,0,1,1,iii-B.3
0,0,0,0,1,1,0,1,1,1,0,1,iii-A.3
0,0,0,1,0,1,0,1,1,1,0,1,iii-E.5
0,0,0,1,1,0,0,1,1,1,0,1,iii-E.5
0,0,1,0,0,1,0,1,1,1,0,1,iii-E.5
0,0,1,0,1,0,0,1,1,1,0,1,iii-E.5
0,0,1,1,0,0,0,1,1,1,0,1,iii-A.3
0,0,0,0,1,1,0,1,1,1,1,0,iii-A.3
0,0,0,1,0,1,0,1,1,1,1,0,iii-E.5
0,0,0,1,1,0,0,1,1,1,1,0,iii-E.5
0,0,1,0,0,1,0,1,1,1,1,0,iii-E.5
0,0,1,0,1,0,0,1,1,1,1,0,iii-E.5
0,0,1,1,0,0,0,1,1,1,1,0,iii-A.3
0,0,0,0,0,1,1,0,0,1,1,1,iii-B.3
0,0,0,0,1,0,1,0,0,1,1,1,iii-B.3
0,0,0,1,0,0,1,0,0,1,1,1,iii-B.3
0,0,1,0,1,1,1,0,0,1,1,1,iii-B.3
0,0,1,1,0,1,1,0,0,1,1,1,iii-B.3
0,0,1,1,1,0,1,0,0,1,1,1,iii-B.3
0,0,0,0,0,1,1,0,1,0,1,1,iii-B.3
0,0,0,0,1,0,1,0,1,0,1,1,iii-B.3
0,0,0,1,1,1,1,0,1,0,1,1,iii-B.3
0,0,1,0,0,0,1,0,1,0,1,1,iii-B.3
0,0,1,1,0,1,1,0,1,0,1,1,iii-B.3
0,0,1,1,1,0,1,0,1,0,1,1,iii-B.3
0,0,0,0,1,1,1,0,1,1,0,1,iii-A.3
0,0,0,1,0,1,1,0,1,1,0,1,iii-E.5
0,0,0,1,1,0,1,0,1,1,0,1,iii-E.5
0,0,1,0,0,1,1,0,1,1,0,1,iii-E.5
0,0,1,0,1,0,1,0,1,1,0,1,iii-E.5
0,0,1,1,0,0,1,0,1,1,0,1,iii-A.3
0,0,0,0,1,1,1,0,1,1,1,0,iii-A.3
0,0,0,1,0,1,1,0,1,1,1,0,iii-E.5
0,0,0,1,1,0,1,0,1,1,1,0,iii-E.5
0,0,1,0,0,1,1,0,1,1,1,0,iii-E.5
0,0,1,0,1,0,1,0,1,1,1,0,iii-E.5
0,0,1,1,0,0,1,0,1,1,1,0,iii-A.3
0,0,0,0,0,0,1,1,0,0,1,1,iii-D
0,0,0,1,0,1,1,1,0,0,1,1,iii-E.4
0,0,0,1,1,0,1,1,0,0,1,1,iii-E.4
0,0,1,0,0,1,1,1,0,0,1,1,iii-E.4
0,0,1,0,1,0,1,1,0,0,1,1,iii-E.4
0,0,1,1,1,1,1,1,0,0,1,1,iii-D
0,0,0,0,0,1,1,1,0,1,0,1,iii-B.3
0,0,0,0,1,0,1,1,0,1,0,1,iii-B.3
0,0,0,1,0,0,1,1,0,1,0,1,iii-B.3
0,0,1,0,1,1,1,1,0,1,0,1,iii-B.3
0,0,1,1,0,1,1,1,0,1,0,1,iii-B.3
0,0,1,1,1,0,1,1,0,1,0,1,iii-B.3
0,0,0,0,0,1,1,1,0,1,1,0,iii-B.3
0,0,0,0,1,0,1,1,0,1,1,0,iii-B.3
0,0,0,1,0,0,1,1,0,1,1,0,iii-B.3
0,0,1,0,1,1,1,1,0,1,1,0,iii-B.3
0,0,1,1,0,1,1,1,0,1,1,0,iii-B.3
0,0,1,1,1,0,1,1,0,1,1,0,iii-B.3
0,0,0,0,0,1,1,1,1,0,0,1,iii-B.3
0,0,0,0,1,0,1,1,1,0,0,1,iii-B.3
0,0,0,1,1,1,1,1,1,0,0,1,iii-B.3
0,0,1,0,0,0,1,1,1,0,0,1,iii-B.3
0,0,1,1,0,1,1,1,1,0,0,1,iii-B.3
0,0,1,1,1,0,1,1,1,0,0,1,iii-B.3
0,0,0,0,0,1,1,1,1,0,1,0,iii-B.3
0,0,0,0,1,0,1,1,1,0,1,0,iii-B.3
0,0,0,1,1,1,1,1,1,0,1,0,iii-B.3
0,0,1,0,0,0,1,1,1,0,1,0,iii-B.3
0,0,1,1,0,1,1,1,1,0,1,0,iii-B.3
0,0,1,1,1,0,1,1,1,0,1,0,iii-B.3
0,0,0,0,1,1,1,1,1,1,0,0,iii-A.3
0,0,0,1,0,1,1,1,1,1,0,0,iii-E.5
0,0,0,1,1,0,1,1,1,1,0,0,iii-E.5
0,0,1,0,0,1,1,1,1,1,0,0,iii-E.5
0,0,1,0,1,0,1,1,1,1,0,0,iii-E.5
0,0,1,1,0,0,1,1,1,1,0,0,iii-A.3
0,1,0,0,0,0,0,0,0,0,0,1,ii-A.2
0,1,0,1,0,1,0,0,0,0,0,1,ii-E.3
0,1,0,1,1,0,0,0,0,0,0,1,ii-E.3
0,1,1,0,0,1,0,0,0,0,0,1,ii-E.3
0,1,1,0,1,0,0,0,0,0,0,1,ii-E.3
0,1,1,1,1,1,0,0,0,0,0,1,ii-A.2
0,1,0,0,0,0,0,0,0,0,1,0,ii-A.2
0,1,0,1,0,1,0,0,0,0,1,0,ii-E.3
0,1,0,1,1,0,0,0,0,0,1,0,ii-E.3
0,1,1,0,0,1,0,0,0,0,1,0,ii-E.3
0,1,1,0,1,0,0,0,0,0,1,0,ii-E.3
0,1,1,1,1,1,0,0,0,0,1,0,ii-A.2
0,1,0,0,0,1,0,0,0,1,0,0,ii-B
0,1,0,0,1,0,0,0,0,1,0,0,ii-B
0,1,0,1,0,0,0,0,0,1,0,0,ii-B
0,1,1,0,1,1,0,0,0,1,0,0,ii-B
0,1,1,1,0,1,0,0,0,1,0,0,ii-B
0,1,1,1,1,0,0,0,0,1,0,0,ii-B
0,1,0,0,0,1,0,0,1,0,0,0,ii-B
0,1,0,0,1,0,0,0,1,0,0,0,ii-B
0,1,0,1,1,1,0,0,1,0,0,0,ii-B
0,1,1,0,0,0,0,0,1,0,0,0,ii-B
0,1,1,1,0,1,0,0,1,0,0,0,ii-B
0,1,1,1,1,0,0,0,1,0,0,0,ii-B
0,1,0,0,0,0,0,1,0,0,0,0,ii-A.2
0,1,0,1,0,1,0,1,0,0,0,0,ii-E.3
0,1,0,1,1,0,0,1,0,0,0,0,ii-E.3
0,1,1,0,0,1,0,1,0,0,0,0,ii-E.3
0,1,1,0,1,0,0,1,0,0,0,0,ii-E.3
0,1,1,1,1,1,0,1,0,0,0,0,ii-A.2
0,1,0,0,1,1,0,1,1,1,1,1,ii-A.2
0,1,0,1,0,1,0,1,1,1,1,1,ii-E.3
0,1,0,1,1,0,0,1,1,1,1,1,ii-E.3
0,1,1,0,0,1,0,1,1,1,1,1,ii-E.3
0,1,1,0,1,0,0,1,1,1,1,1,ii-E.3
0,1,1,1,0,0,0,1,1,1,1,1,ii-A.2
0,1,0,0,0,0,1,0,0,0,0,0,ii-A.2
0,1,0,1,0,1,1,0,0,0,0,0,ii-E.3
0,1,0,1,1,0,1,0,0,0,0,0,ii-E.3
0,1,1,0,0,1,1,0,0,0,0,0,ii-E.3
0,1,1,0,1,0,1,0,0,0,0,0,ii-E.3
0,1,1,1,1,1,1,0,0,0,0,0,ii-A.2
0,1,0,0,1,1,1,0,1,1,1,1,ii-A.2
0,1,0,1,0,1,1,0,1,1,1,1,ii-E.3
0,1,0,1,1,0,1,0,1,1,1,1,ii-E.3
0,1,1,0,0,1,1,0,1,1,1,1,ii-E.3
0,1,1,0,1,0,1,0,1,1,1,1,ii-E.3
0,1,1,1,0,0,1,0,1,1,1,1,ii-A.2
0,1,0,0,0,1,1,1,0,1,1,1,ii-B
0,1,0,0,1,0,1,1,0,1,1,1,ii-B
0,1,0,1,0,0,1,1,0,1,1,1,ii-B
0,1,1,0,1,1,1,1,0,1,1,1,ii-B
0,1,1,1,0,1,1,1,0,1,1,1,ii-B
0,1,1,1,1,0,1,1,0,1,1,1,ii-B
0,1,0,0,0,1,1,1,1,0,1,1,ii-B
0,1,0,0,1,0,1,1,1,0,1,1,ii-B
0,1,0,1,1,1,1,1,1,0,1,1,ii-B
0,1,1,0,0,0,1,1,1,0,1,1,ii-B
0,1,1,1,0,1,1,1,1,0,1,1,ii-B
0,1,1,1,1,0,1,1,1,0,1,1,ii-B
0,1,0,0,1,1,1,1,1,1,0,1,ii-A.2
0,1,0,1,0,1,1,1,1,1,0,1,ii-E.3
0,1,0,1,1,0,1,1,1,1,0,1,ii-E.3
0,1,1,0,0,1,1,1,1,1,0,1,ii-E.3
0,1,1,0,1,0,1,1,1,1,0,1,ii-E.3
0,1,1,1,0,0,1,1,1,1,0,1,ii-A.2
0,1,0,0,1,1,1,1,1,1,1,0,ii-A.2
0,1,0,1,0,1,1,1,1,1,1,0,ii-E.3
0,1,0,1,1,0,1,1,1,1,1,0,ii-E.3
0,1,1,0,0,1,1,1,1,1,1,0,ii-E.3
0,1,1,0,1,0,1,1,1,1,1,0,ii-E.3
0,1,1,1,0,0,1,1,1,1,1,0,ii-A.2
1,0,0,0,0,0,0,0,0,0,0,1,ii-A.2
1,0,0,1,0,1,0,0,0,0,0,1,ii-E.3
1,0,0,1,1,0,0,0,0,0,0,1,ii-E.3
1,0,1,0,0,1,0,0,0,0,0,1,ii-E.3
1,0,1,0,1,0,0,0,0,0,0,1,ii-E.3
1,0,1,1,1,1,0,0,0,0,0,1,ii-A.2
1,0,0,0,0,0,0,0,0,0,1,0,ii-A.2
1,0,0,1,0,1,0,0,0,0,1,0,ii-E.3
1,0,0,1,1,0,0,0,0,0,1,0,ii-E.3
1,0,1,0,0,1,0,0,0,0,1,0,ii-E.3
1,0,1,0,1,0,0,0,0,0,1,0,ii-E.3
1,0,1,1,1,1,0,0,0,0,1,0,ii-A.2
1,0,0,0,0,1,0,0,0,1,0,0,ii-B
1,0,0,0,1,0,0,0,0,1,0,0,ii-B
1,0,0,1,0,0,0,0,0,1,0,0,ii-B
1,0,1,0,1,1,0,0,0,1,0,0,ii-B
1,0,1,1,0,1,0,0,0,1,0,0,ii-B
1,0,1,1,1,0,0,0,0,1,0,0,ii-B
1,0,0,0,0,1,0,0,1,0,0,0,ii-B
1,0,0,0,1,0,0,0,1,0,0,0,ii-B
1,0,0,1,1,1,0,0,1,0,0,0,ii-B
1,0,1,0,0,0,0,0,1,0,0,0,ii-B
1,0,1,1,0,1,0,0,1,0,0,0,ii-B
1,0,1,1,1,0,0,0,1,0,0,0,ii-B
1,0,0,0,0,0,0,1,0,0,0,0,ii-A.2
1,0,0,1,0,1,0,1,0,0,0,0,ii-E.3
1,0,0,1,1,0,0,1,0,0,0,0,ii-E.3
1,0,1,0,0,1,0,1,0,0,0,0,ii-E.3
1,0,1,0,1,0,0,1,0,0,0,0,ii-E.3
1,0,1,1,1,1,0,1,0,0,0,0,ii-A.2
1,0,0,0,1,1,0,1,1,1,1,1,ii-A.2
1,0,0,1,0,1,0,1,1,1,1,1,ii-E.3
1,0,0,1,1,0,0,1,1,1,1,1,ii-E.3
1,0,1,0,0,1,0,1,1,1,1,1,ii-E.3
1,0,1,0,1,0,0,1,1,1,1,1,ii-E.3
1,0,1,1,0,0,0,1,1,1,1,1,ii-A.2
1,0,0,0,0,0,1,0,0,0,0,0,ii-A.2
1,0,0,1,0,1,1,0,0,0,0,0,ii-E.3
1,0,0,1,1,0,1,0,0,0,0,0,ii-E.3
1,0,1,0,0,1,1,0,0,0,0,0,ii-E.3
1,0,1,0,1,0,1,0,0,0,0,0,ii-E.3
1,0,1,1,1,1,1,0,0,0,0,0,ii-A.2
1,0,0,0,1,1,1,0,1,1,1,1,ii-A.2
1,0,0,1,0,1,1,0,1,1,1,1,ii-E.3
1,0,0,1,1,0,1,0,1,1,1,1,ii-E.3
1,0,1,0,0,1,1,0,1,1,1,1,ii-E.3
1,0,1,0,1,0,1,0,1,1,1,1,ii-E.3
1,0,1,1,0,0,1,0,1,1,1,1,ii-A.2
1,0,0,0,0,1,1,1,0,1,1,1,ii-B
1,0,0,0,1,0,1,1,0,1,1,1,ii-B
1,0,0,1,0,0,1,1,0,1,1,1,ii-B
1,0,1,0,1,1,1,1,0,1,1,1,ii-B
1,0,1,1,0,1,1,1,0,1,1,1,ii-B
1,0,1,1,1,0,1,1,0,1,1,1,ii-B
1,0,0,0,0,1,1,1,1,0,1,1,ii-B
1,0,0,0,1,0,1,1,1,0,1,1,ii-B
1,0,0,1,1,1,1,1,1,0,1,1,ii-B
1,0,1,0,0,0,1,1,1,0,1,1,ii-B
1,0,1,1,0,1,1,1,1,0,1,1,ii-B
1,0,1,1,1,0,1,1,1,0,1,1,ii-B
1,0,0,0,1,1,1,1,1,1,0,1,ii-A.2
1,0,0,1,0,1,1,1,1,1,0,1,ii-E.3
1,0,0,1,1,0,1,1,1,1,0,1,ii-E.3
1,0,1,0,0,1,1,1,1,1,0,1,ii-E.3
1,0,1,0,1,0,1,1,1,1,0,1,ii-E.3
1,0,1,1,0,0,1,1,1,1,0,1,ii-A.2
1,0,0,0,1,1,1,1,1,1,1,0,ii-A.2
1,0,0,1,0,1,1,1,1,1,1,0,ii-E.3
1,0,0,1,1,0,1,1,1,1,1,0,ii-E.3
1,0,1,0,0,1,1,1,1,1,1,0,ii-E.3
