n1,n2,m3,m4,m5,m6,N1,N2,N3,N4,N5,N6,PaperLabel,TwistBasis,Unique,IsRepresentative,ClassRepresentative,EquivalentTo,RelabellingToRepresentative,EquivalenceNotes
0,0,0,0,0,0,0,0,0,0,0,0,i-A,b1 ; b2`2,yes,yes,i-A,,,unique -- no other configuration in the list is equivalent to it
1,0,0,0,0,0,1,0,0,0,0,0,ii-A.1,b1 + e1`1 ; b2`2,no,yes,ii-A.1,ii-A.2,,class representative; equivalent model(s) in this list: ii-A.2
1,0,0,0,0,0,0,0,0,0,1,0,ii-A.2,b1 + e1`5 ; b2`2,no,no,ii-A.1,ii-A.1,"left: identity  |  right: 1->2, 2->5, 5->1","= ii-A.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->2, 2->5, 5->1.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
1,1,0,0,0,0,1,1,0,0,0,0,iii-A.1,b1 + e12`1`2 ; b2`2,no,yes,iii-A.1,"iii-A.2, iii-A.3",,"class representative; equivalent model(s) in this list: iii-A.2, iii-A.3"
1,1,0,0,0,0,1,0,0,0,1,0,iii-A.2,b1 + e12`1`5 ; b2`2,no,no,iii-A.1,"iii-A.1, iii-A.3","left: identity  |  right: 2->5, 5->2","= iii-A.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 2->5, 5->2.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
1,1,0,0,0,0,0,0,0,0,1,1,iii-A.3,b1 + e12`5`6 ; b2`2,no,no,iii-A.1,"iii-A.1, iii-A.2","left: identity  |  right: 1->5, 2->6, 5->1, 6->2","= iii-A.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->5, 2->6, 5->1, 6->2.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
1,0,0,0,1,0,0,0,1,0,0,0,ii-B,b1 + e1`3 ; b2`2 + e5`5,no,yes,ii-B,ii-C,,class representative; equivalent model(s) in this list: ii-C
1,1,0,0,1,0,1,0,1,0,0,0,iii-B.1,b1 + e12`1`3 ; b2`2 + e5`5,no,yes,iii-B.1,"iii-B.2, iii-B.3, iii-C.1, iii-C.2",,"class representative; equivalent model(s) in this list: iii-B.2, iii-B.3, iii-C.1, iii-C.2"
1,1,0,0,1,0,0,0,1,0,1,0,iii-B.2,b1 + e12`3`5 ; b2`2 + e5`5,no,no,iii-B.1,"iii-B.1, iii-B.3, iii-C.1, iii-C.2","left: identity  |  right: 1->2, 2->5, 5->1 ; y<->w on 25","= iii-B.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->2, 2->5, 5->1 ; y<->w on 25.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
1,1,0,0,1,0,0,0,1,0,0,1,iii-B.3,b1 + e12`3`6 ; b2`2 + e5`5,no,no,iii-B.1,"iii-B.1, iii-B.2, iii-C.1, iii-C.2","left: identity  |  right: 1->2, 2->5, 5->6, 6->1 ; y<->w on 25","= iii-B.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->2, 2->5, 5->6, 6->1 ; y<->w on 25.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
