n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,PaperLabel,TwistBasis,Unique,ClassRepresentative,EquivalentTo,IsRepresentative,RelabellingToRepresentative,EquivalenceNotes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i-i-A,b1 ; b`1 ; b2`2,yes,i-i-A,,yes,,unique -- no other configuration in the list is equivalent to it
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,i-ii-A,b1 ; b`1 + e1`1 ; b2`2,yes,i-ii-A,,yes,,unique -- no other configuration in the list is equivalent to it
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,i-iii-A,b1 ; b`1 + e12`1`2 ; b2`2,yes,i-iii-A,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ii-i-A,b1 + e1`1 ; b`1 ; b2`2,yes,ii-i-A,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,ii-ii-A.1,b1 + e1`1 ; b`1 + e1`1 ; b2`2,yes,ii-ii-A.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,ii-ii-A.2,b1 + e1`2 ; b`1 + e2`1 ; b2`2,yes,ii-ii-A.2,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,ii-iii-A.1,b1 + e1`1 ; b`1 + e12`1`2 ; b2`2,yes,ii-iii-A.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,ii-ii-A.3,b1 + e1`5 ; b`1 + e5`1 ; b2`2,no,ii-ii-A.3,ii-ii-C,yes,,class representative; equivalent model(s) in this list: ii-ii-C
1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,ii-iii-A.2,b1 + e1`5 ; b`1 + e25`1`2 ; b2`2,no,ii-iii-A.2,ii-iii-C,yes,,class representative; equivalent model(s) in this list: ii-iii-C
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,iii-i-A,b1 + e12`1`2 ; b`1 ; b2`2,yes,iii-i-A,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,iii-ii-A.1,b1 + e12`1`2 ; b`1 + e1`1 ; b2`2,yes,iii-ii-A.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,iii-iii-A.1,b1 + e12`1`2 ; b`1 + e12`1`2 ; b2`2,yes,iii-iii-A.1,,yes,,unique -- no other configuration in the list is equivalent to it
1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,iii-ii-A.2,b1 + e12`2`5 ; b`1 + e5`1 ; b2`2,no,iii-ii-A.2,iii-ii-C,yes,,class representative; equivalent model(s) in this list: iii-ii-C
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,iii-iii-A.2,b1 + e12`1`5 ; b`1 + e15`1`2 ; b2`2,no,iii-iii-A.2,iii-iii-C.1,yes,,class representative; equivalent model(s) in this list: iii-iii-C.1
