n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,Label,TwistBasis,NumberOfMIParameterChoices
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,class_01,b1 ; b`1 ; b2`2,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,class_02,b1 ; b`1 ; b2`2 + e46`4`6,16
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,class_03,b1 ; b`1 + e3456 ; b2`2 + e46`4`6,16
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,class_04,b1 ; b`1 + e2`2 ; b2`2,16
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,class_05,b1 ; b`1 + e2`2 ; b2`2 + e46`4`6,64
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,class_06,b1 ; b`1 + e12`1`2 ; b2`2,4
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,class_07,b1 + e`3`4`5`6 ; b`1 ; b2`2 + e46`4`6,16
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,class_08,b1 + e`3`4`5`6 ; b`1 + e3456 ; b2`2 + e56`5`6,4
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,class_09,b1 + e`3`4`5`6 ; b`1 + e3456 ; b2`2 + e46`4`6,16
0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,class_10,b1 + e`3`4`5`6 ; b`1 + e2`2 ; b2`2 + e46`4`6,64
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,class_11,b1 + e`3`4`5`6 ; b`1 + e23456`2 ; b2`2 + e56`5`6,16
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,class_12,b1 + e`3`4`5`6 ; b`1 + e123456`1`2 ; b2`2 + e56`5`6,4
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,class_13,b1 + e`2`4`5`6 ; b`1 + e2456 ; b2`2 + e6`6,384
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,class_14,b1 + e`2`4`5`6 ; b`1 + e2456 ; b2`2 + e4`4,96
0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,class_15,b1 + e`2`4`5`6 ; b`1 + e4`2 ; b2`2 + e6`6,192
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,class_16,b1 + e`2`4`5`6 ; b`1 + e12456`1 ; b2`2 + e4`4,48
0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,class_17,b1 + e`1`2`5`6 ; b`1 + e1256 ; b2`2,16
0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,class_18,b1 + e`1`2`5`6 ; b`1 + e1256 ; b2`2 + e46`4`6,64
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,class_19,b1 + e`1`2`5`6 ; b`1 + e2`2 ; b2`2 + e46`4`6,128
0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,class_20,b1 + e`1`2`4`6 ; b`1 + e1246 ; b2`2 + e6`6,96
0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,class_21,b1 + e`1`2`4`6 ; b`1 + e1246 ; b2`2 + e5`5,96
0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,class_22,b1 + e2`6 ; b`1 + e2346 ; b2`2 + e46`4`6,192
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,class_23,b1 + e2`6 ; b`1 + e6`2 ; b2`2,96
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,class_24,b1 + e2`6 ; b`1 + e6`2 ; b2`2 + e46`4`6,384
0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,class_25,b1 + e2`6 ; b`1 + e16`1`2 ; b2`2,48
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,class_26,b1 + e2`2 ; b`1 ; b2`2,16
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,class_27,b1 + e2`2 ; b`1 ; b2`2 + e46`4`6,64
0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,class_28,b1 + e2`2 ; b`1 + e3456 ; b2`2 + e46`4`6,64
0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,class_29,b1 + e2`2 ; b`1 + e1256 ; b2`2 + e46`4`6,128
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,class_30,b1 + e2`2 ; b`1 + e2`2 ; b2`2,16
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,class_31,b1 + e2`2 ; b`1 + e2`2 ; b2`2 + e46`4`6,64
0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,class_32,b1 + e2`2 ; b`1 + e23456`2 ; b2`2 + e46`4`6,64
0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,class_33,b1 + e2`2 ; b`1 + e1`1 ; b2`2,16
0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,class_34,b1 + e2`2 ; b`1 + e12`1`2 ; b2`2,16
