n12,N,m3456,M,k12,K,nm_class,k_class,mapped_stefan_index
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",VI,ii,UNMATCHED
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",V,iii,18
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",V,ii,UNMATCHED
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",IV,ii,UNMATCHED
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",IV,ii,7
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",IV,i,4
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",VI,i,UNMATCHED
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",IV,iii,"13,15"
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",III,ii,UNMATCHED
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",II,ii,5
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",III,i,3
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",II,i,2
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",I,i,1
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",V,ii,8
