stefan_index,n12,m3456,k12,N,M,K,modular_invariant,equivalent_to_solution,nm_class,k_class
1,"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",True,13,I,i
2,"(0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",True,12,II,i
3,"(0, 0)","(1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",True,11,III,i
4,"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",True,6,IV,i
5,"(0, 0)","(1, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",True,10,II,ii
6,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",True,27,IV,ii
7,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",True,5,IV,ii
8,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 0, 0, 0)",True,14,V,ii
9,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",True,17,V,ii
10,"(0, 0)","(1, 0, 1, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",True,25,II,iii
11,"(0, 0)","(1, 1, 1, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",True,23,III,iii
12,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",True,30,IV,iii
13,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",True,8,IV,iii
14,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",True,30,IV,iii
15,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",True,8,IV,iii
16,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)",True,26,IV,iii
17,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)",True,26,IV,iii
18,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",True,2,V,iii
19,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)",True,16,V,iii
20,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",True,24,VI,iii
21,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)",False,-1,VI,iii
22,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",True,20,VI,iii
