n12,k12,N,K,modular_invariant,equiv_refined_3456
"(0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",TRUE,13
"(1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",TRUE,11
"(1, 1)","(0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",TRUE,12
"(0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",TRUE,8
"(0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",TRUE,7
"(1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",TRUE,9
"(1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",TRUE,16
"(1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",TRUE,2
"(1, 1)","(1, 0)","(1, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",TRUE,10
"(1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",TRUE,4
"(1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",TRUE,6
"(1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",TRUE,14
"(1, 0)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 0, 0, 0)",TRUE,3
"(1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",TRUE,17
"(1, 1)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",TRUE,15
"(1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)",TRUE,1
"(1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)",TRUE,5
