n1,n2,N1,N2,N3,N4,N5,N6,k1,k2,K1,K2,K3,K4,K5,K6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
