n12,N,k12,K,m3456,mb3456,satisfies_all_constraints,equivalent_to_solution_index
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,44
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,34
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,47
"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,6
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,10
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,49
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,9
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,43
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,41
"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,7
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)",TRUE,4
