n,N,m,M,Class
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 0, 1, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 1, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 1, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 0, 0, 1)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 0, 1, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",III
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 0, 0, 1)",II
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 0, 1, 0)",II
