n12,m3456,k12,N,M,K,PaperLabel,TwistBasis,Unique,IsRepresentative,ClassRepresentative,EquivalentTo,RelabellingToRepresentative,EquivalenceNotes
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I-i,b1 ; b2 ; b`1,yes,yes,I-i,,,unique -- no other configuration in the list is equivalent to it
"(0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i,b1 ; b2 + e35`1 ; b`1,yes,yes,II-i,,,unique -- no other configuration in the list is equivalent to it
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",III-i,b1 ; b2 + e3456`1`2 ; b`1,yes,yes,III-i,,,unique -- no other configuration in the list is equivalent to it
"(1, 0)","(1, 0, 1, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",IV-i,b1 + e1`1 ; b2 + e356`2 ; b`1,yes,yes,IV-i,,,unique -- no other configuration in the list is equivalent to it
"(0, 0)","(1, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",II-ii,b1 ; b2 + e35`3 ; b`1 + e1`1,yes,yes,II-ii,,,unique -- no other configuration in the list is equivalent to it
"(0, 0)","(1, 1, 1, 1)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",III-ii,b1 ; b2 + e3456`2`4 ; b`1 + e1`1,yes,yes,III-ii,,,unique -- no other configuration in the list is equivalent to it
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.1,b1 + e1`2 ; b2 + e356`3 ; b`1 + e2`1,no,yes,IV-ii.1,IV-ii.2,,class representative; equivalent model(s) in this list: IV-ii.2
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",IV-ii.2,b1 + e1`3 ; b2 + e356`2 ; b`1 + e4`1,no,no,IV-ii.1,IV-ii.1,"left: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56  |  right: identity","= IV-ii.1.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 (B1b unchanged)"
"(1, 0)","(1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)",IV-ii.3,b1 + e1`3 ; b2 + e356`4 ; b`1 + e5`1,yes,yes,IV-ii.3,,,unique -- no other configuration in the list is equivalent to it
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)",V-ii.1,b1 + e12`2`3 ; b2 + e3456`2`4 ; b`1 + e5`1,no,yes,V-ii.1,"V-ii.2, V-ii.3",,"class representative; equivalent model(s) in this list: V-ii.2, V-ii.3"
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 0, 0, 0)",V-ii.2,b1 + e12`2`3 ; b2 + e3456`3`4 ; b`1 + e3`1,no,no,V-ii.1,"V-ii.1, V-ii.3","left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: identity","= V-ii.1.  E2/E3 permutation -- holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B2 -> B1 + B2 (B1, B1b unchanged)"
"(1, 1)","(1, 1, 1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",V-ii.3,b1 + e12`3`4 ; b2 + e3456`2`3 ; b`1 + e1`1,no,no,V-ii.1,"V-ii.1, V-ii.2","left: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4 ; y<->w on 3456  |  right: identity","= V-ii.1.  E2/E3 permutation -- holomorphic: 1->5, 2->6, 3->1, 4->2, 5->3, 6->4 ; y<->w on 3456; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B1 + B2; B2 -> B1 (B1b unchanged)"
"(0, 0)","(1, 0, 1, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",II-iii,b1 ; b2 + e35`1 ; b`1 + e12`1`2,yes,yes,II-iii,,,unique -- no other configuration in the list is equivalent to it
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",III-iii,b1 ; b2 + e3456`3`4 ; b`1 + e12`1`2,yes,yes,III-iii,,,unique -- no other configuration in the list is equivalent to it
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",IV-iii.1,b1 + e1`1 ; b2 + e356`2 ; b`1 + e56`1`2,no,yes,IV-iii.1,row17,,class representative; equivalent model(s) in this list: row17
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",IV-iii.2,b1 + e1`1 ; b2 + e356`3 ; b`1 + e45`1`2,no,yes,IV-iii.2,"row18, IV-iii.3, row20",,"class representative; equivalent model(s) in this list: row18, IV-iii.3, row20"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",row17,b1 + e1`2 ; b2 + e356`1 ; b`1 + e56`1`2,no,no,IV-iii.1,IV-iii.1,"left: identity  |  right: 1->2, 2->1","= IV-iii.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->2, 2->1.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",row18,b1 + e1`2 ; b2 + e356`3 ; b`1 + e45`1`2,no,no,IV-iii.2,"IV-iii.2, IV-iii.3, row20","left: identity  |  right: 1->2, 2->1","= IV-iii.2.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->2, 2->1.  E1 change of basis (E = 1+S+Sb) -- none needed (the relabelling alone maps one basis onto the other)"
"(1, 0)","(1, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 1, 0)",IV-iii.3,b1 + e1`3 ; b2 + e356`1 ; b`1 + e25`1`2,no,no,IV-iii.2,"IV-iii.2, row18, row20","left: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56  |  right: identity","= IV-iii.2.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 (B1b unchanged)"
