n12,m3456,k12,N,M,K,Label,TwistBasis,NumberOfMIParameterChoices
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I-i,b1 ; b2 ; b`1,8
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",III-i,b1 ; b2 + e`3`4`5`6 ; b`1,24
"(0, 0)","(0, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",III-ii,b1 ; b2 + e`2`4`5`6 ; b`1 + e2`2,384
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)",III-iii,b1 ; b2 + e`1`2`5`6 ; b`1 + e3456,144
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",II-ii,b1 ; b2 + e46`6 ; b`1 + e2`2,1536
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i,b1 ; b2 + e46`2 ; b`1,192
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",II-iii,b1 ; b2 + e46`2 ; b`1 + e3456,192
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)","(0, 0, 1, 1, 1, 1)",VI-iii.6,b1 + e`3`4`5`6 ; b2 + e`1`2`5`6 ; b`1 + e3456,144
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",IV-i,b1 + e`3`4`5`6 ; b2 + e46`2 ; b`1,192
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",IV-iii.1,b1 + e`3`4`5`6 ; b2 + e46`2 ; b`1 + e3456,192
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 0, 1, 1)","(0, 1, 0, 1, 1, 1)",VI-iii.3,b1 + e`2`4`5`6 ; b2 + e`1`3`5`6 ; b`1 + e2456,2304
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0, 1, 1)","(0, 1, 0, 1, 1, 1)",V-iii.2,b1 + e`2`4`5`6 ; b2 + e56`2`3`5`6 ; b`1 + e2456,2304
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",V-ii.3,b1 + e`2`4`5`6 ; b2 + e56`2`3`5`6 ; b`1 + e6`2,1152
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 1, 1)",IV-iii.3,b1 + e`2`4`5`6 ; b2 + e46`3 ; b`1 + e2456,3072
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 0, 1)",IV-ii.2,b1 + e`2`4`5`6 ; b2 + e46`3 ; b`1 + e6`2,1536
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.4,b1 + e`1`2`5`6 ; b2 + e46`4 ; b`1 + e1245,1152
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.3,b1 + e`1`2`5`6 ; b2 + e46`4 ; b`1 + e2`2,4608
