index,n,m,k,l,N,M,K,L,PaperLabel,TwistBasis,Unique,IsRepresentative,ClassRepresentative,EquivalentTo,RelabellingToRepresentative,EquivalenceNotes
1,"(0,0)","(0,0,0,0)","(0,0)","(0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)",I-I,b1 ; b2 ; b`1 ; b`2,yes,yes,I-I,,,unique -- no other configuration in the list is equivalent to it
2,"(0,0)","(1,0,1,0)","(0,0)","(1,0,1,0)","(0,0,0,0,0,0)","(1,0,0,0,0,0)","(0,0,0,0,0,0)","(1,0,0,0,0,0)",II-II,b1 ; b2 + e35`1 ; b`1 ; b`2 + e1`3`5,yes,yes,II-II,,,unique -- no other configuration in the list is equivalent to it
3,"(0,0)","(1,0,1,0)","(1,0)","(1,0,1,1)","(0,0,0,0,0,0)","(0,0,0,0,1,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)",II-IV,b1 ; b2 + e35`5 ; b`1 + e1`1 ; b`2 + e2`3`5`6,yes,yes,II-IV,,,unique -- no other configuration in the list is equivalent to it
4,"(1,0)","(1,0,1,1)","(0,0)","(1,0,1,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,1,0)",IV-II,b1 + e1`1 ; b2 + e356`2 ; b`1 ; b`2 + e5`3`5,yes,yes,IV-II,,,unique -- no other configuration in the list is equivalent to it
5,"(0,0)","(1,1,1,1)","(0,0)","(1,1,1,1)","(0,0,0,0,0,0)","(1,1,0,0,0,0)","(0,0,0,0,0,0)","(1,1,0,0,0,0)",III-III,b1 ; b2 + e3456`1`2 ; b`1 ; b`2 + e12`3`4`5`6,yes,yes,III-III,,,unique -- no other configuration in the list is equivalent to it
6,"(0,0)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,0,0)","(0,1,0,1,0,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)",III-IV,b1 ; b2 + e3456`2`4 ; b`1 + e1`1 ; b`2 + e2`3`5`6,yes,yes,III-IV,,,unique -- no other configuration in the list is equivalent to it
7,"(1,0)","(1,0,1,1)","(0,0)","(1,1,1,1)","(1,0,0,0,0,0)","(0,1,0,0,0,0)","(0,0,0,0,0,0)","(0,1,0,1,0,0)",IV-III,b1 + e1`1 ; b2 + e356`2 ; b`1 ; b`2 + e24`3`4`5`6,yes,yes,IV-III,,,unique -- no other configuration in the list is equivalent to it
8,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)",IV-IV.1,b1 + e1`2 ; b2 + e356`4 ; b`1 + e2`1 ; b`2 + e4`3`5`6,no,yes,IV-IV.1,IV-IV.7,,class representative; equivalent model(s) in this list: IV-IV.7
9,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,0,0)","(0,0,0,0,1,0)","(0,1,0,0,0,0)","(0,0,0,0,1,0)",IV-IV.2,b1 + e1`2 ; b2 + e356`5 ; b`1 + e2`1 ; b`2 + e5`3`5`6,no,yes,IV-IV.2,"IV-IV.3, IV-IV.4, IV-IV.5",,"class representative; equivalent model(s) in this list: IV-IV.3, IV-IV.4, IV-IV.5"
10,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,0,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,1,0,0,0,0)",IV-IV.7,b1 + e1`4 ; b2 + e356`2 ; b`1 + e4`1 ; b`2 + e2`3`5`6,no,no,IV-IV.1,IV-IV.1,"left: identity  |  right: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56","= IV-IV.1.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56.  E1 change of basis (E = 1+S+Sb) -- B1b -> B2b; B2b -> B1b (B1, B2 unchanged)"
11,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,0,0)","(0,0,0,0,1,0)","(0,0,0,0,1,0)","(0,1,0,0,0,0)",IV-IV.3,b1 + e1`4 ; b2 + e356`5 ; b`1 + e5`1 ; b`2 + e2`3`5`6,no,no,IV-IV.2,"IV-IV.2, IV-IV.4, IV-IV.5","left: identity  |  right: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56","= IV-IV.2.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56.  E1 change of basis (E = 1+S+Sb) -- B1b -> B2b; B2b -> B1b (B1, B2 unchanged)"
12,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,1,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,0,0,0,1,0)",IV-IV.4,b1 + e1`5 ; b2 + e356`2 ; b`1 + e4`1 ; b`2 + e5`3`5`6,no,no,IV-IV.2,"IV-IV.2, IV-IV.3, IV-IV.5","left: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56  |  right: identity","= IV-IV.2.  E2/E3 permutation -- holomorphic: 1->3, 2->4, 3->1, 4->2 ; y<->w on 56; anti-holomorphic: identity.  E1 change of basis (E = 1+S+Sb) -- B1 -> B2; B2 -> B1 (B1b, B2b unchanged)"
