n,N,k,K,Class
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",i-i
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 1, 1, 1, 1)",i-iii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",i-ii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)",i-iii
"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 1, 1, 1, 1)",i-i
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)",iii-i
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0)","(0, 0, 1, 1, 1, 1)",iii-iii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1)","(1, 1, 0, 0, 0, 0)",iii-iii.1
"(0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1, 1, 1)",iii-i
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
