n,N,k,K,Label,TwistBasis,NumberOfMIParameterChoices
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",i-i,b1 ; b`1,4
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 1, 1, 1, 1)",i-iii,b1 ; b`1 + e3456,4
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",i-ii,b1 ; b`1 + e2`2,16
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)",iii-i,b1 + e`3`4`5`6 ; b`1,4
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0)","(0, 0, 1, 1, 1, 1)",iii-iii.1,b1 + e`3`4`5`6 ; b`1 + e3456,4
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.1,b1 + e`3`4`5`6 ; b`1 + e2`2,16
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2,b1 + e`2`4`5`6 ; b`1 + e2456,256
"(0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2,b1 + e`2`4`5`6 ; b`1 + e6`2,128
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3,b1 + e`1`2`5`6 ; b`1 + e1256,144
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3,b1 + e`1`2`5`6 ; b`1 + e2`2,96
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",ii-iii.2,b1 + e2`6 ; b`1 + e2456,128
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",ii-ii.3,b1 + e2`6 ; b`1 + e6`2,256
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",ii-i,b1 + e2`2 ; b`1,16
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 1, 1, 1, 1)",ii-iii.1,b1 + e2`2 ; b`1 + e3456,16
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",ii-iii.3,b1 + e2`2 ; b`1 + e1256,96
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",ii-ii.1,b1 + e2`2 ; b`1 + e2`2,16
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",ii-ii.2,b1 + e2`2 ; b`1 + e23456`2,16
