n12,k12,N,K,N_sq,K_sq,N_minus_K_sq,N12_sq,K12_sq,N12_minus_K12_sq,Nrest_sq,Krest_sq,Nrest_minus_Krest_sq,modular_invariant,equiv_refined_3456
"(0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",0,0,0,0,0,0,0,0,0,True,12
"(1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",1,0,1,1,0,1,0,0,0,True,9
"(1, 1)","(0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",2,0,2,2,0,2,0,0,0,True,8
"(0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",0,1,1,0,1,1,0,0,0,True,11
"(0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",0,2,2,0,2,2,0,0,0,True,14
"(1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",1,1,0,1,1,0,0,0,0,True,16
"(1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",1,1,0,1,1,0,0,0,0,True,10
"(1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",1,1,0,0,0,0,1,1,0,True,5
"(1, 1)","(1, 0)","(1, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",2,1,1,2,1,1,0,0,0,True,7
"(1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",2,1,1,1,0,1,1,1,0,True,6
"(1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",2,1,3,0,1,1,2,0,2,True,3
"(1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",1,2,1,1,2,1,0,0,0,True,15
"(1, 0)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 0, 0, 0)",1,2,1,0,1,1,1,1,0,True,4
"(1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",1,2,3,1,0,1,0,2,2,True,13
"(1, 1)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",2,2,0,2,2,0,0,0,0,True,17
"(1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)",2,2,0,1,1,0,1,1,0,True,1
"(1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)",2,2,0,0,0,0,2,2,0,True,2
