n12,k12,N,K,N_sq,K_sq,N_minus_K_sq,N12_sq,K12_sq,N12_minus_K12_sq,Nrest_sq,Krest_sq,Nrest_minus_Krest_sq
"(1, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 1)",2,2,2,1,1,0,1,1,2
"(1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 0, 0, 1)",2,2,2,0,0,0,2,2,2
"(1, 0)","(1, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 0, 0, 0)",1,2,1,0,1,1,1,1,0
"(1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",1,1,0,0,0,0,1,1,0
"(1, 1)","(1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",2,1,1,1,0,1,1,1,0
"(1, 0)","(1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 1)",1,2,3,1,0,1,0,2,2
"(1, 0)","(1, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",1,2,1,1,2,1,0,0,0
"(1, 1)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",2,2,0,2,2,0,0,0,0
"(1, 1)","(1, 0)","(1, 1, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",2,1,1,2,1,1,0,0,0
"(1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",1,1,0,1,1,0,0,0,0
"(1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",1,1,0,1,1,0,0,0,0
"(0, 0)","(1, 1)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",0,2,2,0,2,2,0,0,0
"(0, 0)","(1, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",0,1,1,0,1,1,0,0,0
"(1, 1)","(0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",2,0,2,2,0,2,0,0,0
"(1, 0)","(0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",1,0,1,1,0,1,0,0,0
"(0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",0,0,0,0,0,0,0,0,0
"(1, 1)","(1, 0)","(0, 0, 1, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",2,1,3,0,1,1,2,0,2
