"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1

GGSO phase matrix:
-1,1,-1,-1,-1,-1,-1
1,-1,1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,-1
-1,1,-1,1,1,1,1
-1,1,-1,-1,1,-1,-1
-1,-1,1,1,-1,1,1
-1,-1,1,1,-1,-1,1

Internal symmetry group:
[SO(3) x SO(3) x SO(2) x O(1) x O(1) x O(1) x O(1)]_L  x  [SO(3) x SO(3) x SO(2) x O(1) x O(1) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",w4,O(1),wb3 wb5 wb6,SO(3)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",w2,O(1),yb5 yb6 wb1,SO(3)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0)",(none),-,yb1 yb3,SO(2)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",w3 w5 w6,SO(3),wb4,O(1)
"(1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0)",y2,O(1),yb4,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0)",y5 y6 w1,SO(3),wb2,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0)",y4,O(1),yb2,O(1)
"(1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0)",y1 y3,SO(2),(none),-
Complex-fermion pairings (LL / RR / LR):
LL,"(w3,w5)",-> w35
LL,"(y5,y6)",-> y56
LL,"(y1,y3)",-> y13
RR,"(wb3,wb5)",-> wb35
RR,"(yb5,yb6)",-> yb56
RR,"(yb1,yb3)",-> yb13
LR,"(w4,wb6)",-> w4wb6
LR,"(w2,wb1)",-> w2wb1
LR,"(w6,wb4)",-> w6wb4
LR,"(y2,yb4)",-> y2yb4
LR,"(w1,wb2)",-> w1wb2
LR,"(y4,yb2)",-> y4yb2

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12c,"(0, 0)",,
[0 1 0 0 0 0 0],psib12 | + + + +>_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0 0 0],psib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0 0 0],psi12 | + - - ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0 0],psi12c | + - - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0 0],psi12 | - + + +>_R,"(0, 8)",,
[0 0 1 0 0 0 0],psi12c | - + + +>_R,"(0, 8)",,
[0 1 1 0 0 0 0],| + + + +>_L x | + - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0 0],| + + + +>_L x | - + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0 0],| - - - ->_L x | + - - ->_R,"(8, 8)",,
[0 1 1 0 0 0 0],| - - - ->_L x | - + + +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 0, 1, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 0 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| + - ->_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 0 0 0 1 0 1],| - + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 0 0 0 1 0 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 0 0 0 1 0 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 0 1 0 1 0 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| + - ->_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 0 1 0 1],| - + +>_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 1 0 1 0 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 0 1 0 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,
[1 1 0 0 1 0 1],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 1 0 1 0 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 0, 1, 1, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 1 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 0 0 1 1 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 0 1 1 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 1 0 1 1 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 1 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,
