"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0

GGSO phase matrix:
1,1,1,-1,-1,-1
1,-1,1,-1,-1,-1
1,1,-1,-1,-1,-1
-1,1,-1,1,1,-1
-1,-1,1,1,1,-1
-1,1,1,1,1,-1

Internal symmetry group:
[SO(3) x SO(2) x SO(2) x SO(2) x O(1) x O(1) x O(1)]_L  x  [SO(4) x SO(3) x SO(2) x O(1) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",w4,O(1),wb4,O(1)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0)",w3 w5,SO(2),wb3 wb5,SO(2)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",w2 w6,SO(2),yb4 yb5 wb1 wb2,SO(4)
"(1.0, 0.0, 0.0, 0.0, 1.0, 1.0)",y2,O(1),yb1 yb2 yb3,SO(3)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",y4 y5 w1,SO(3),wb6,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 1.0)",y1 y3,SO(2),(none),-
"(1.0, 0.0, 0.0, 1.0, 1.0, 1.0)",y6,O(1),yb6,O(1)
Complex-fermion pairings (LL / RR / LR):
LL,"(w3,w5)",-> w35
LL,"(w2,w6)",-> w26
LL,"(y4,y5)",-> y45
LL,"(y1,y3)",-> y13
RR,"(wb3,wb5)",-> wb35
RR,"(yb4,yb5)",-> yb45
RR,"(wb1,wb2)",-> wb12
RR,"(yb1,yb2)",-> yb12
LR,"(w4,wb4)",-> w4wb4
LR,"(y2,yb3)",-> y2yb3
LR,"(w1,wb6)",-> w1wb6
LR,"(y6,yb6)",-> y6yb6

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0 0],psi12c psib12c,"(0, 0)",,
[2 0 0 0 0 0],chi12 chib12,"(0, 0)",,0
[2 0 0 0 0 0],chi12 chib12c,"(0, 0)",,0
[2 0 0 0 0 0],chi12c chib12,"(0, 0)",,0
[2 0 0 0 0 0],chi12c chib12c,"(0, 0)",,0
[0 1 0 0 0 0],psib12 | + + + +>_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0 0],psib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0 0],chib12 | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0],chib12c | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0],chib12 | - - + +>_L,"(8, 0)",,
[0 1 0 0 0 0],chib12c | - - + +>_L,"(8, 0)",,
[0 1 0 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0 0],psi12 | + + + +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0],psi12c | + + + +>_R,"(0, 8)",,1/2
[0 0 1 0 0 0],chi12 | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0],chi12c | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0],chi12 | - - + +>_R,"(0, 8)",,
[0 0 1 0 0 0],chi12c | - - + +>_R,"(0, 8)",,
[0 0 1 0 0 0],psi12 | - - - ->_R,"(0, 8)",,
[0 0 1 0 0 0],psi12c | - - - ->_R,"(0, 8)",,
[0 1 1 0 0 0],| + + + +>_L x | + + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| + + + +>_L x | - - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| + + - ->_L x | + + - ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| + + - ->_L x | - - + +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| - - + +>_L x | + + - ->_R,"(8, 8)",,0
[0 1 1 0 0 0],| - - + +>_L x | - - + +>_R,"(8, 8)",,
[0 1 1 0 0 0],| - - - ->_L x | + + + +>_R,"(8, 8)",,0
[0 1 1 0 0 0],| - - - ->_L x | - - - ->_R,"(8, 8)",,
"Supersector for base: [1, *, *, 1, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 1 0],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",H_T,0
[1 0 0 1 1 0],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",V_T,1
[1 0 0 1 1 0],| + - ->_L x | + +> x | - + +>_R,"(8, 8)",H_T,0
[1 0 0 1 1 0],| + - ->_L x | + +> x | + - ->_R,"(8, 8)",V_T,1
[1 0 0 1 1 0],| - + +>_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 0 0 1 1 0],| - + +>_L x | + +> x | - + +>_R,"(8, 8)",,
[1 0 0 1 1 0],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 0 0 1 1 0],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 0 1 1 1 0],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,1/2
[1 0 1 1 1 0],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 0 1 1 1 0],| + - ->_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 1 1 0],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 1 1 0],| - + +>_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 1 1 1 0],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 1 1 1 0],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 1 1 0],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 1 0],| + + +>_L x | + +> x | - + ->_R,"(8, 8)",,
[1 1 0 1 1 0],| + + +>_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 1 0 1 1 0],| + + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 1 1 0],| + + ->_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 1 0 1 1 0],| - - +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 1 0 1 1 0],| - - +>_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 1 1 0],| - - ->_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 1 0 1 1 0],| - - ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 1 1 1 1 0],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 1 1 0],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 1 0],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 1 0],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 1 0],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 1 0],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 1 0],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 1 0],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 1, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 1 1],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",H_T,0
[1 0 0 1 1 1],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",V_T,1
[1 0 0 1 1 1],| + - +>_L x | + +> x | - + +>_R,"(8, 8)",H_T,0
[1 0 0 1 1 1],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",V_T,1
[1 0 0 1 1 1],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 0 0 1 1 1],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 0 0 1 1 1],| - + ->_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 0 0 1 1 1],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 0 1 1 1 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,1/2
[1 0 1 1 1 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 0 1 1 1 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 1 1 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 1 1 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 1 1 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 0 1 1 1 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 1 1 1 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 1 1],| + + +>_L x | + +> x | - + ->_R,"(8, 8)",,
[1 1 0 1 1 1],| + + +>_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 1 0 1 1 1],| + + +>_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 1 1 1],| + + +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 1 0 1 1 1],| - - ->_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 1 0 1 1 1],| - - ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 1 0 1 1 1],| - - ->_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 1 0 1 1 1],| - - ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 1 1 1 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 1 1 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 1 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 1 1],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",,0
