n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,PaperLabel
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i-i-A
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,i-ii-A
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,i-iii-A
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ii-i-A
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,ii-ii-A
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,ii-ii-A
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,ii-iii-A
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,ii-ii-A
1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,ii-iii-A
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,iii-i-A
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,iii-ii-A
1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,iii-iii-A
1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,iii-ii-A
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,iii-iii-A
1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,iii-iii-A
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,ii-ii-B
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,ii-iii-B
1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,iii-ii-B
1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,iii-iii-B
1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,iii-iii-B
1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,iii-iii-B
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,ii-ii-C
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,ii-iii-C
1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,iii-ii-C
1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,iii-iii-C
1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,iii-iii-C
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,iii-iii-D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,i-i-E
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,i-ii-E
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,i-iii-E
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,ii-i-E
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,ii-ii-E
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,ii-ii-E
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,ii-iii-E
1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,ii-iii-E
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,ii-iii-E
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,ii-ii-E
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,ii-ii-E
1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,ii-iii-E
1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,ii-iii-E
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,iii-i-E
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E
1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,iii-iii-E
1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,iii-ii-E
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,iii-ii-E
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,iii-iii-E
1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,iii-iii-E
1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,iii-iii-E
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,iii-iii-E
1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,iii-ii-E
1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,iii-iii-E
1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,iii-iii-E
