n1,n2,m3,m4,m5,m6,N1,N2,N3,N4,N5,N6,PaperLabel
0,0,0,0,0,0,0,0,0,0,0,0,i-A
1,0,0,0,0,0,1,0,0,0,0,0,ii-A
1,0,0,0,0,0,0,0,0,0,1,0,ii-A
1,1,0,0,0,0,1,1,0,0,0,0,iii-A
1,1,0,0,0,0,1,0,0,0,1,0,iii-A
1,1,0,0,0,0,0,0,0,0,1,1,iii-A
1,0,0,0,1,0,0,0,1,0,0,0,ii-B
1,1,0,0,1,0,1,0,1,0,0,0,iii-B
1,1,0,0,1,0,0,0,1,0,1,0,iii-B
1,1,0,0,1,0,0,0,1,0,0,1,iii-B
1,0,1,0,0,0,0,0,1,0,0,0,ii-C
1,1,1,0,0,0,1,0,1,0,0,0,iii-C
1,1,1,0,0,0,0,0,1,0,1,0,iii-C
1,1,0,0,1,1,0,0,1,1,0,0,iii-D
0,0,1,0,1,0,0,0,0,0,0,0,i-E
1,0,1,0,1,0,1,0,0,0,0,0,ii-E
1,0,1,0,1,0,0,0,0,0,1,0,ii-E
1,0,1,0,1,0,0,0,0,0,0,1,ii-E
1,1,1,0,1,0,1,1,0,0,0,0,iii-E
1,1,1,0,1,0,1,0,0,0,1,0,iii-E
1,1,1,0,1,0,1,0,0,0,0,1,iii-E
1,1,1,0,1,0,0,0,1,1,0,0,iii-E
1,1,1,0,1,0,0,0,0,0,1,1,iii-E
