PaperLabel,n,N,m,M,k,K,l,L
I-I,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)"
II-II,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)"
II-IV,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)"
IV-II,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 0, 0, 1, 0)"
III-III,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)"
III-IV,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)"
IV-III,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)"
IV-IV.1,"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)"
IV-IV.2,"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)"
IV-IV.3,"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)"
IV-V,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)"
V-IV,"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1, 1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)"
V-V,"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)"
VI-VI.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)"
VI-VI.2,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)"
VI-VI.3,"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 0, 0)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 0, 0)","(0, 1, 0, 0, 1, 0)"
