PaperLabel,n,N,m,M,k,K
I-i,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
II-i,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
III-i,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
IV-i,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
II-ii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
III-ii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
IV-ii.1,"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)"
IV-ii.2,"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)"
V-ii,"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)"
II-iii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
III-iii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
IV-iii.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)"
IV-iii.2,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)"
IV-iii.3,"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)"
V-iii,"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)"
VI-iii.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
VI-iii.2,"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)"
