PaperLabel,n,N,m,k,K
i-i-A,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
i-ii-A,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-i-A,"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
ii-ii-A.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-ii-A.2,"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)"
ii-ii-A.3,"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)"
i-iii-A,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-i-A,"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
ii-iii-A.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-ii-A.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-iii-A.2,"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)"
iii-ii-A.2,"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)"
iii-iii-A.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-iii-A.2,"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)"
iii-iii-A.3,"(1, 1)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)"
ii-ii-B,"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)"
ii-iii-B,"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)"
iii-ii-B,"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)"
iii-iii-B.1,"(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)"
iii-iii-B.2,"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)"
iii-iii-B.3,"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)"
i-i-E,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
i-ii-E,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-i-E,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
ii-ii-E.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-ii-E.2,"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)"
i-iii-E,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-i-E,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
ii-iii-E.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-ii-E.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-iii-E.2,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)"
iii-ii-E.2,"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
iii-iii-E.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-iii-E.2,"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)"
