PaperLabel,n,N,k,K
i-i,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
ii-i,"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
i-ii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
iii-i,"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)"
i-iii,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
ii-ii.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-ii.2,"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)"
ii-ii.3,"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)"
iii-ii.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-iii.1,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-ii.2,"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)"
ii-iii.2,"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)"
iii-ii.3,"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)"
ii-iii.3,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)"
iii-iii.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)"
iii-iii.2,"(1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)"
iii-iii.3,"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)"
