PaperLabel,n,N,m
i-A,"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)"
ii-A,"(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0)"
iii-A,"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0)"
ii-B,"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)"
iii-B,"(1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0)"
iii-D,"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 1, 1)"
i-E,"(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)"
ii-E,"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)"
iii-E.1,"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)"
iii-E.2,"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)"
