"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0

GGSO phase matrix:
1,-1,1,-1,-1,-1
-1,1,1,1,1,-1
1,1,-1,-1,-1,1
-1,-1,-1,1,1,-1
-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,1

Internal symmetry group:
[SO(3) x SO(2) x SO(2) x SO(2) x O(1) x O(1) x O(1)]_L  x  [SO(5) x SO(3) x SO(2) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",w2,O(1),wb4 wb5 wb6,SO(3)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0)",w4,O(1),yb1 yb4 yb5 yb6 wb1,SO(5)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",y2 w3 w6,SO(3),wb3,O(1)
"(1.0, 0.0, 0.0, 0.0, 1.0, 1.0)",w5,O(1),yb3,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",y6 w1,SO(2),(none),-
"(1.0, 0.0, 0.0, 1.0, 0.0, 1.0)",y4 y5,SO(2),yb2 wb2,SO(2)
"(1.0, 0.0, 0.0, 1.0, 1.0, 0.0)",y1 y3,SO(2),(none),-
Complex-fermion pairings (LL / RR / LR):
LL,"(y2,w3)",-> y2w3
LL,"(y6,w1)",-> y6w1
LL,"(y4,y5)",-> y45
LL,"(y1,y3)",-> y13
RR,"(wb4,wb5)",-> wb45
RR,"(yb1,yb4)",-> yb14
RR,"(yb5,yb6)",-> yb56
RR,"(yb2,wb2)",-> yb2wb2
LR,"(w2,wb6)",-> w2wb6
LR,"(w4,wb1)",-> w4wb1
LR,"(w6,wb3)",-> w6wb3
LR,"(w5,yb3)",-> w5yb3

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0 0],psi12 chib12,"(0, 0)",,1
[2 0 0 0 0 0],psi12 chib12c,"(0, 0)",,1
[2 0 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0 0],psi12c psib12c,"(0, 0)",,
[2 0 0 0 0 0],psi12c chib12,"(0, 0)",,
[2 0 0 0 0 0],psi12c chib12c,"(0, 0)",,
[0 1 0 0 0 0],psib12 | + + + ->_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0 0],psib12c | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0],chib12 | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0],chib12c | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0],psib12 | - - - +>_L,"(8, 0)",,
[0 1 0 0 0 0],psib12c | - - - +>_L,"(8, 0)",,
[0 1 0 0 0 0],chib12 | - - - +>_L,"(8, 0)",,
[0 1 0 0 0 0],chib12c | - - - +>_L,"(8, 0)",,
[0 0 1 0 0 0],psi12 | + - + ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0],psi12c | + - + ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0],psi12 | + - - +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0],psi12c | + - - +>_R,"(0, 8)",,1/2
[0 0 1 0 0 0],psi12 | - + + ->_R,"(0, 8)",,
[0 0 1 0 0 0],psi12c | - + + ->_R,"(0, 8)",,
[0 0 1 0 0 0],psi12 | - + - +>_R,"(0, 8)",,
[0 0 1 0 0 0],psi12c | - + - +>_R,"(0, 8)",,
[0 1 1 0 0 0],| + + + ->_L x | + - + ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| + + + ->_L x | + - - +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| + + + ->_L x | - + + ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| + + + ->_L x | - + - +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| - - - +>_L x | + - + ->_R,"(8, 8)",,0
[0 1 1 0 0 0],| - - - +>_L x | + - - +>_R,"(8, 8)",,0
[0 1 1 0 0 0],| - - - +>_L x | - + + ->_R,"(8, 8)",,
[0 1 1 0 0 0],| - - - +>_L x | - + - +>_R,"(8, 8)",,
"Supersector for base: [1, *, *, 0, 1, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",V_T,1
[1 0 0 0 1 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",H_T,0
[1 0 0 0 1 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 0 0 0 1 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 0 0 0 1 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 0 0 1 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 1 0 1 1],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 0 1 0 1 1],| + - +>_L x | + +> x | - + +>_R,"(8, 8)",,1/2
[1 0 1 0 1 1],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1],| - + ->_L x | + +> x | + - ->_R,"(8, 8)",,
[1 0 1 0 1 1],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 0 1 0 1 1],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,
[1 0 1 0 1 1],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 0 1 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 1 0 1 1],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 1 1 0 1 1],| + - +>_L x | + +> x | - + +>_R,"(8, 8)",,0
[1 1 1 0 1 1],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 0 1 1],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",,0
[1 1 1 0 1 1],| - + ->_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 0 1 1],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,0
[1 1 1 0 1 1],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 1 1 0 1 1],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,0

RS producing supersectors:
,(none)

V_T/H_T producing (twisted) supersectors:
,"[1, *, *, 0, 1, 1]"

All twisted supersectors:
,"[1, *, *, 0, 1, 1]"

Spin breakdown by supersector:
"SUSY level (n_susy_L, n_susy_R, total):",1,2,3
Multiplet library source:,computed
Multiplets used:,"SUGRA_N3=[0, 1, 3, 3, 1]","RS_N3=[2, 3, 3, 1, 0]","V_N3=[6, 4, 1, 0, 0]"

Untwisted supersector
Spin,Number of states
0,6
1/2,5
1,4
3/2,3
2,1
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[6, 5, 4, 3, 1]"
Supermultiplet matching (N=3):,1*SUGRA_N3 + 1*V_N3

[1 * * 0 1 1]
Spin,Number of states
0,12
1/2,8
1,2
3/2,0
2,0
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[12, 8, 2, 0, 0]"
Supermultiplet matching (N=3):,2*V_N3
