"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0

GGSO phase matrix:
1,-1,1,-1,-1
-1,1,1,1,1
1,1,-1,-1,-1
-1,-1,-1,1,1
-1,-1,1,-1,-1

Internal symmetry group:
[SO(4) x SO(4) x SO(2) x SO(2)]_L  x  [SO(4) x SO(4) x SO(2) x SO(2)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0)",w4 w6,SO(2),yb4 wb2 wb4 wb6,SO(4)
"(1.0, 0.0, 0.0, 0.0, 1.0)",w3 w5,SO(2),yb2 yb3 yb6 wb3,SO(4)
"(1.0, 0.0, 0.0, 1.0, 0.0)",y4 y5 w1 w2,SO(4),yb5 wb1,SO(2)
"(1.0, 0.0, 0.0, 1.0, 1.0)",y1 y2 y3 y6,SO(4),yb1 wb5,SO(2)
Complex-fermion pairings (LL / RR / LR):
LL,"(w4,w6)",-> w46
LL,"(w3,w5)",-> w35
LL,"(y4,y5)",-> y45
LL,"(w1,w2)",-> w12
LL,"(y1,y2)",-> y12
LL,"(y3,y6)",-> y36
RR,"(yb4,wb2)",-> yb4wb2
RR,"(wb4,wb6)",-> wb46
RR,"(yb2,yb3)",-> yb23
RR,"(yb6,wb3)",-> yb6wb3
RR,"(yb5,wb1)",-> yb5wb1
RR,"(yb1,wb5)",-> yb1wb5

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0],psi12 chib34,"(0, 0)",,1
[2 0 0 0 0],psi12 chib34c,"(0, 0)",,1
[2 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0],psi12c psib12c,"(0, 0)",,
[2 0 0 0 0],psi12c chib34,"(0, 0)",,
[2 0 0 0 0],psi12c chib34c,"(0, 0)",,
[2 0 0 0 0],chi12 chib12,"(0, 0)",,0
[2 0 0 0 0],chi12 chib12c,"(0, 0)",,0
[2 0 0 0 0],chi12 chib56,"(0, 0)",,0
[2 0 0 0 0],chi12 chib56c,"(0, 0)",,0
[2 0 0 0 0],chi12c chib12,"(0, 0)",,0
[2 0 0 0 0],chi12c chib12c,"(0, 0)",,0
[2 0 0 0 0],chi12c chib56,"(0, 0)",,0
[2 0 0 0 0],chi12c chib56c,"(0, 0)",,0
[0 1 0 0 0],psib12 | + + + ->_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0],psib12c | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34 | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34c | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12 | + + - +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12c | + + - +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56 | + + - +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56c | + + - +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12 | - - + ->_L,"(8, 0)",,
[0 1 0 0 0],chib12c | - - + ->_L,"(8, 0)",,
[0 1 0 0 0],chib56 | - - + ->_L,"(8, 0)",,
[0 1 0 0 0],chib56c | - - + ->_L,"(8, 0)",,
[0 1 0 0 0],psib12 | - - - +>_L,"(8, 0)",,
[0 1 0 0 0],psib12c | - - - +>_L,"(8, 0)",,
[0 1 0 0 0],chib34 | - - - +>_L,"(8, 0)",,
[0 1 0 0 0],chib34c | - - - +>_L,"(8, 0)",,
[0 0 1 0 0],psi12 | + + + +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + + + +>_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12 | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12c | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + - + ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + - + ->_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12 | + - - +>_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12c | + - - +>_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12 | - + + ->_R,"(0, 8)",,
[0 0 1 0 0],chi12c | - + + ->_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - + - +>_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - + - +>_R,"(0, 8)",,
[0 0 1 0 0],chi12 | - - + +>_R,"(0, 8)",,
[0 0 1 0 0],chi12c | - - + +>_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - - - ->_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - - - ->_R,"(0, 8)",,
[0 1 1 0 0],| + + + ->_L x | + + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + ->_L x | + - + ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + ->_L x | - + - +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + ->_L x | - - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + - +>_L x | + + - ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + - +>_L x | + - - +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + - +>_L x | - + + ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + - +>_L x | - - + +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| - - + ->_L x | + + - ->_R,"(8, 8)",,0
[0 1 1 0 0],| - - + ->_L x | + - - +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - + ->_L x | - + + ->_R,"(8, 8)",,
[0 1 1 0 0],| - - + ->_L x | - - + +>_R,"(8, 8)",,
[0 1 1 0 0],| - - - +>_L x | + + + +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - - +>_L x | + - + ->_R,"(8, 8)",,0
[0 1 1 0 0],| - - - +>_L x | - + - +>_R,"(8, 8)",,
[0 1 1 0 0],| - - - +>_L x | - - - ->_R,"(8, 8)",,

RS producing supersectors:
,(none)

V_T/H_T producing (twisted) supersectors:
,(none)

All twisted supersectors:
,(none)

Spin breakdown by supersector:
"SUSY level (n_susy_L, n_susy_R, total):",1,2,3
Multiplet library source:,computed
Multiplets used:,"SUGRA_N3=[0, 1, 3, 3, 1]","RS_N3=[2, 3, 3, 1, 0]","V_N3=[6, 4, 1, 0, 0]"

Untwisted supersector
Spin,Number of states
0,18
1/2,13
1,6
3/2,3
2,1
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[18, 13, 6, 3, 1]"
Supermultiplet matching (N=3):,1*SUGRA_N3 + 3*V_N3
