"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0

GGSO phase matrix:
1,1,1,-1,-1
1,-1,1,-1,-1
1,1,-1,-1,-1
-1,1,-1,1,1
-1,1,-1,-1,1

Internal symmetry group:
[SO(4) x SO(4) x SO(4)]_L  x  [SO(6) x SO(2) x SO(2) x SO(2)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0)",(none),-,yb4 yb5 yb6 wb4 wb5 wb6,SO(6)
"(1.0, 0.0, 0.0, 0.0, 1.0)",w3 w4 w5 w6,SO(4),yb3 wb3,SO(2)
"(1.0, 0.0, 0.0, 1.0, 0.0)",y5 y6 w1 w2,SO(4),yb2 wb2,SO(2)
"(1.0, 0.0, 0.0, 1.0, 1.0)",y1 y2 y3 y4,SO(4),yb1 wb1,SO(2)
Complex-fermion pairings (LL / RR / LR):
LL,"(w3,w4)",-> w34
LL,"(w5,w6)",-> w56
LL,"(y5,y6)",-> y56
LL,"(w1,w2)",-> w12
LL,"(y1,y2)",-> y12
LL,"(y3,y4)",-> y34
RR,"(yb4,yb5)",-> yb45
RR,"(yb6,wb4)",-> yb6wb4
RR,"(wb5,wb6)",-> wb56
RR,"(yb3,wb3)",-> yb3wb3
RR,"(yb2,wb2)",-> yb2wb2
RR,"(yb1,wb1)",-> yb1wb1

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0],psi12 chib12,"(0, 0)",,1
[2 0 0 0 0],psi12 chib12c,"(0, 0)",,1
[2 0 0 0 0],psi12 chib34,"(0, 0)",,1
[2 0 0 0 0],psi12 chib34c,"(0, 0)",,1
[2 0 0 0 0],psi12 chib56,"(0, 0)",,1
[2 0 0 0 0],psi12 chib56c,"(0, 0)",,1
[2 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0],psi12c psib12c,"(0, 0)",,
[2 0 0 0 0],psi12c chib12,"(0, 0)",,
[2 0 0 0 0],psi12c chib12c,"(0, 0)",,
[2 0 0 0 0],psi12c chib34,"(0, 0)",,
[2 0 0 0 0],psi12c chib34c,"(0, 0)",,
[2 0 0 0 0],psi12c chib56,"(0, 0)",,
[2 0 0 0 0],psi12c chib56c,"(0, 0)",,
[0 1 0 0 0],psib12 | + + + +>_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0],psib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12 | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34 | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56 | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib12c | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib34 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib34c | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib56 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib56c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0],psi12 | + + + +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + + + +>_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + + - ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + - + ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + - + ->_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + - - +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + - - +>_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | - + + ->_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - + + ->_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - + - +>_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - + - +>_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - - + +>_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - - + +>_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - - - ->_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - - - ->_R,"(0, 8)",,
[0 1 1 0 0],| + + + +>_L x | + + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + +>_L x | + + - ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + +>_L x | + - + ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + +>_L x | + - - +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + +>_L x | - + + ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + +>_L x | - + - +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + +>_L x | - - + +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + +>_L x | - - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| - - - ->_L x | + + + +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | + + - ->_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | + - + ->_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | + - - +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | - + + ->_R,"(8, 8)",,
[0 1 1 0 0],| - - - ->_L x | - + - +>_R,"(8, 8)",,
[0 1 1 0 0],| - - - ->_L x | - - + +>_R,"(8, 8)",,
[0 1 1 0 0],| - - - ->_L x | - - - ->_R,"(8, 8)",,

RS producing supersectors:
,(none)

V_T/H_T producing (twisted) supersectors:
,(none)

All twisted supersectors:
,(none)

Spin breakdown by supersector:
"SUSY level (n_susy_L, n_susy_R, total):",1,4,5
Multiplet library source:,computed
Multiplets used:,"SUGRA_N5=[10, 11, 10, 5, 1]","RS_N5=[20, 15, 6, 1, 0]","V_N5=[20, 15, 6, 1, 0]"

Untwisted supersector
Spin,Number of states
0,10
1/2,11
1,10
3/2,5
2,1
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[10, 11, 10, 5, 1]"
Supermultiplet matching (N=5):,1*SUGRA_N5
