"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0

GGSO phase matrix:
-1,1,-1,-1,-1,-1,-1
1,-1,1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,-1
-1,1,-1,1,1,-1,-1
-1,1,-1,-1,1,-1,1
-1,-1,1,-1,-1,1,1
-1,-1,1,-1,1,-1,1

Internal symmetry group:
[SO(3) x SO(3) x SO(2) x SO(2) x O(1) x O(1)]_L  x  [SO(3) x SO(3) x SO(2) x SO(2) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",w2 w4 w6,SO(3),wb2 wb4 wb6,SO(3)
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",w1,O(1),yb2 wb3 wb5,SO(3)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",(none),-,yb4 yb5,SO(2)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0)",(none),-,yb3 yb6,SO(2)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",y2 w3 w5,SO(3),wb1,O(1)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0)",y1,O(1),yb1,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0)",y4 y5,SO(2),(none),-
"(1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0)",y3 y6,SO(2),(none),-
Complex-fermion pairings (LL / RR / LR):
LL,"(w2,w4)",-> w24
LL,"(y2,w3)",-> y2w3
LL,"(y4,y5)",-> y45
LL,"(y3,y6)",-> y36
RR,"(wb2,wb4)",-> wb24
RR,"(yb2,wb3)",-> yb2wb3
RR,"(yb4,yb5)",-> yb45
RR,"(yb3,yb6)",-> yb36
LR,"(w6,wb6)",-> w6wb6
LR,"(w1,wb5)",-> w1wb5
LR,"(w5,wb1)",-> w5wb1
LR,"(y1,yb1)",-> y1yb1

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12c,"(0, 0)",,
[0 1 0 0 0 0 0],psib12 | + + + +>_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0 0 0],psib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0 0 0],psi12 | + - - ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0 0],psi12c | + - - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0 0],psi12 | - + + +>_R,"(0, 8)",,
[0 0 1 0 0 0 0],psi12c | - + + +>_R,"(0, 8)",,
[0 1 1 0 0 0 0],| + + + +>_L x | + - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0 0],| + + + +>_L x | - + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0 0],| - - - ->_L x | + - - ->_R,"(8, 8)",,
[0 1 1 0 0 0 0],| - - - ->_L x | - + + +>_R,"(8, 8)",,0
"Supersector for base: [0, *, *, 1, 0, 0, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[0 0 0 1 0 0 0],chib56 | + + + +>_L,"(8, 0)",,0
[0 0 0 1 0 0 0],chib56c | + + + +>_L,"(8, 0)",,0
[0 0 0 1 0 0 0],chib56 | - - - ->_L,"(8, 0)",,0
[0 0 0 1 0 0 0],chib56c | - - - ->_L,"(8, 0)",,0
[0 1 0 1 0 0 0],chib56 | + - + +>_L,"(8, 0)",V_T,1/2
[0 1 0 1 0 0 0],chib56c | + - + +>_L,"(8, 0)",,1/2
[0 1 0 1 0 0 0],chib56 | - + - ->_L,"(8, 0)",,
[0 1 0 1 0 0 0],chib56c | - + - ->_L,"(8, 0)",,
[0 0 1 1 0 0 0],| + + + +>_L x | + + + ->_R,"(8, 8)",,1/2
[0 0 1 1 0 0 0],| + + + +>_L x | - - - +>_R,"(8, 8)",,
[0 0 1 1 0 0 0],| - - - ->_L x | + + + ->_R,"(8, 8)",,1/2
[0 0 1 1 0 0 0],| - - - ->_L x | - - - +>_R,"(8, 8)",,
[0 1 1 1 0 0 0],| + - + +>_L x | + + + ->_R,"(8, 8)",,0
[0 1 1 1 0 0 0],| + - + +>_L x | - - - +>_R,"(8, 8)",,1
[0 1 1 1 0 0 0],| - + - ->_L x | + + + ->_R,"(8, 8)",,
[0 1 1 1 0 0 0],| - + - ->_L x | - - - +>_R,"(8, 8)",,0
"Supersector for base: [0, *, *, 0, 0, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[0 0 0 0 0 1 0],chi56 | + + + +>_R,"(0, 8)",,0
[0 0 0 0 0 1 0],chi56c | + + + +>_R,"(0, 8)",,0
[0 0 0 0 0 1 0],chi56 | - - - ->_R,"(0, 8)",,0
[0 0 0 0 0 1 0],chi56c | - - - ->_R,"(0, 8)",,0
[0 0 1 0 0 1 0],chi56 | + + - ->_R,"(0, 8)",V_T,1/2
[0 0 1 0 0 1 0],chi56c | + + - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 1 0],chi56 | - - + +>_R,"(0, 8)",,
[0 0 1 0 0 1 0],chi56c | - - + +>_R,"(0, 8)",,
[0 1 0 0 0 1 0],| + - - +>_L x | + + + +>_R,"(8, 8)",,1/2
[0 1 0 0 0 1 0],| + - - +>_L x | - - - ->_R,"(8, 8)",,1/2
[0 1 0 0 0 1 0],| - + + ->_L x | + + + +>_R,"(8, 8)",,
[0 1 0 0 0 1 0],| - + + ->_L x | - - - ->_R,"(8, 8)",,
[0 1 1 0 0 1 0],| + - - +>_L x | + + - ->_R,"(8, 8)",,0
[0 1 1 0 0 1 0],| + - - +>_L x | - - + +>_R,"(8, 8)",,1
[0 1 1 0 0 1 0],| - + + ->_L x | + + - ->_R,"(8, 8)",,
[0 1 1 0 0 1 0],| - + + ->_L x | - - + +>_R,"(8, 8)",,0
"Supersector for base: [0, *, *, 1, 0, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[0 0 0 1 0 1 0],| + + + ->_L x | + + + ->_R,"(8, 8)",,0
[0 0 0 1 0 1 0],| + + + ->_L x | - - - +>_R,"(8, 8)",,0
[0 0 0 1 0 1 0],| - - - +>_L x | + + + ->_R,"(8, 8)",,0
[0 0 0 1 0 1 0],| - - - +>_L x | - - - +>_R,"(8, 8)",,0
[0 0 1 1 0 1 0],| + + + ->_L x | + + - +>_R,"(8, 8)",,1/2
[0 0 1 1 0 1 0],| + + + ->_L x | - - + ->_R,"(8, 8)",,
[0 0 1 1 0 1 0],| - - - +>_L x | + + - +>_R,"(8, 8)",,1/2
[0 0 1 1 0 1 0],| - - - +>_L x | - - + ->_R,"(8, 8)",,
[0 1 0 1 0 1 0],| + - + ->_L x | + + + ->_R,"(8, 8)",,1/2
[0 1 0 1 0 1 0],| + - + ->_L x | - - - +>_R,"(8, 8)",,1/2
[0 1 0 1 0 1 0],| - + - +>_L x | + + + ->_R,"(8, 8)",,
[0 1 0 1 0 1 0],| - + - +>_L x | - - - +>_R,"(8, 8)",,
