"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0

GGSO phase matrix:
-1,1,-1,-1,-1
1,-1,1,-1,-1
-1,1,1,-1,-1
-1,1,-1,1,1
-1,1,1,-1,-1

Internal symmetry group:
[SO(5) x SO(3) x SO(3) x O(1)]_L  x  [SO(5) x SO(3) x SO(3) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0)",w3 w4 w6,SO(3),yb4 yb5 wb1 wb2 wb4,SO(5)
"(1.0, 0.0, 0.0, 0.0, 1.0)",w5,O(1),yb1 yb2 wb5,SO(3)
"(1.0, 0.0, 0.0, 1.0, 0.0)",y3 y4 y5 w1 w2,SO(5),yb3 wb3 wb6,SO(3)
"(1.0, 0.0, 0.0, 1.0, 1.0)",y1 y2 y6,SO(3),yb6,O(1)
Complex-fermion pairings (LL / RR / LR):
LL,"(w3,w4)",-> w34
LL,"(y3,y4)",-> y34
LL,"(y5,w1)",-> y5w1
LL,"(y1,y2)",-> y12
RR,"(yb4,yb5)",-> yb45
RR,"(wb1,wb2)",-> wb12
RR,"(yb1,yb2)",-> yb12
RR,"(yb3,wb3)",-> yb3wb3
LR,"(w6,wb4)",-> w6wb4
LR,"(w5,wb5)",-> w5wb5
LR,"(w2,wb6)",-> w2wb6
LR,"(y6,yb6)",-> y6yb6

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0],psi12 chib34,"(0, 0)",,1
[2 0 0 0 0],psi12 chib34c,"(0, 0)",,1
[2 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0],psi12c psib12c,"(0, 0)",,
[2 0 0 0 0],psi12c chib34,"(0, 0)",,
[2 0 0 0 0],psi12c chib34c,"(0, 0)",,
[2 0 0 0 0],chi12 chib12,"(0, 0)",,0
[2 0 0 0 0],chi12 chib12c,"(0, 0)",,0
[2 0 0 0 0],chi12 chib56,"(0, 0)",,0
[2 0 0 0 0],chi12 chib56c,"(0, 0)",,0
[2 0 0 0 0],chi12c chib12,"(0, 0)",,0
[2 0 0 0 0],chi12c chib12c,"(0, 0)",,0
[2 0 0 0 0],chi12c chib56,"(0, 0)",,0
[2 0 0 0 0],chi12c chib56c,"(0, 0)",,0
[0 1 0 0 0],psib12 | + + + +>_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0],psib12c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34 | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib34c | + + + +>_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12 | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12c | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56 | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib56c | + + - ->_L,"(8, 0)",,1/2
[0 1 0 0 0],chib12 | - - + +>_L,"(8, 0)",,
[0 1 0 0 0],chib12c | - - + +>_L,"(8, 0)",,
[0 1 0 0 0],chib56 | - - + +>_L,"(8, 0)",,
[0 1 0 0 0],chib56c | - - + +>_L,"(8, 0)",,
[0 1 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib34 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0],chib34c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0],chi12 | + + + ->_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12c | + + + ->_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + + - +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + + - +>_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12 | + - + +>_R,"(0, 8)",,1/2
[0 0 1 0 0],chi12c | + - + +>_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | + - - ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0],psi12c | + - - ->_R,"(0, 8)",,1/2
[0 0 1 0 0],psi12 | - + + +>_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - + + +>_R,"(0, 8)",,
[0 0 1 0 0],chi12 | - + - ->_R,"(0, 8)",,
[0 0 1 0 0],chi12c | - + - ->_R,"(0, 8)",,
[0 0 1 0 0],psi12 | - - + ->_R,"(0, 8)",,
[0 0 1 0 0],psi12c | - - + ->_R,"(0, 8)",,
[0 0 1 0 0],chi12 | - - - +>_R,"(0, 8)",,
[0 0 1 0 0],chi12c | - - - +>_R,"(0, 8)",,
[0 1 1 0 0],| + + + +>_L x | + + - +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + +>_L x | + - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + + +>_L x | - + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + + +>_L x | - - + ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + - ->_L x | + + + ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + - ->_L x | + - + +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0],| + + - ->_L x | - + - ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| + + - ->_L x | - - - +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0],| - - + +>_L x | + + + ->_R,"(8, 8)",,
[0 1 1 0 0],| - - + +>_L x | + - + +>_R,"(8, 8)",,
[0 1 1 0 0],| - - + +>_L x | - + - ->_R,"(8, 8)",,0
[0 1 1 0 0],| - - + +>_L x | - - - +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | + + - +>_R,"(8, 8)",,
[0 1 1 0 0],| - - - ->_L x | + - - ->_R,"(8, 8)",,
[0 1 1 0 0],| - - - ->_L x | - + + +>_R,"(8, 8)",,0
[0 1 1 0 0],| - - - ->_L x | - - + ->_R,"(8, 8)",,0
"Supersector for base: [0, *, *, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[0 0 0 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[0 0 0 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[0 0 0 0 1],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[0 0 0 0 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[0 0 0 0 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[0 0 0 0 1],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[0 0 0 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[0 0 0 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[0 0 0 0 1],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[0 0 0 0 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[0 0 0 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[0 0 0 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[0 0 0 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[0 0 0 0 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[0 0 0 0 1],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[0 0 0 0 1],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[0 0 1 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[0 0 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[0 0 1 0 1],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
